PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Aaron Holiday,HOU,43,0.3,4.5,0.92,0.3,0.1,0.3,45.5,45.5,8.3,8.3,8.3,8.3,41.7,61.6
Davion Mitchell,SAC,32,0.3,5.6,1,0.3,0.1,0.3,40,55,0,9.1,0,0,36.4,54
Kenrich Williams,OKC,37,0.3,4.6,1.1,0.3,0.1,0.2,44.4,61.1,10,10,10,10,40,35.9
Gary Harris,ORL,29,0.3,4.6,1.1,0.4,0.1,0.3,44.4,55.6,10,10,10,10,40,35.9
Ziaire Williams,MEM,41,0.6,7.4,0.48,0.3,0.1,0.5,23.8,28.6,0,16,0,0,20,96.1
Dennis Smith Jr.,BKN,32,0.5,5.6,0.8,0.4,0.1,0.3,27.3,36.4,13.3,13.3,13.3,0,33.3,78.4
Trey Murphy III,NOP,23,0.6,8,0.86,0.5,0.2,0.6,30.8,34.6,7.1,0,7.1,0,35.7,69
Victor Wembanyama,SAS,44,0.3,2.3,0.92,0.3,0.1,0.3,33.3,41.7,7.7,0,7.7,0,38.5,60.8
Jabari Walker,POR,45,0.3,4,0.92,0.3,0.1,0.2,36.4,45.5,7.7,7.7,7.7,0,38.5,60.8
Jacob Gilyard,MEM,31,0.4,6.9,1,0.4,0.2,0.3,50,60,0,16.7,0,0,41.7,54
Jonathan Isaac,ORL,31,0.4,6.9,1,0.4,0.2,0.3,50,60,0,16.7,0,0,41.7,54
MarJon Beauchamp,MIL,31,0.4,5.5,1.09,0.4,0.2,0.4,45.5,50,9.1,0,9.1,9.1,45.5,38.4
Luke Kennard,MEM,22,0.5,7,1.2,0.5,0.2,0.4,50,62.5,10,10,10,0,50,23.7
Jae'Sean Tate,HOU,46,0.3,5,0.81,0.3,0.1,0.3,35.7,46.4,0,12.5,0,0,31.3,76.8
Payton Pritchard,BOS,47,0.3,4.6,0.93,0.3,0.1,0.3,41.7,50,7.1,7.1,0,0,42.9,59.9
Gordon Hayward,CHA,25,0.6,5.4,0.93,0.5,0.2,0.5,38.5,42.3,7.1,0,7.1,0,42.9,59.9
Jarrett Allen,CLE,41,0.3,1.9,1.08,0.3,0.1,0.2,50,60,8.3,8.3,8.3,0,50,40.1
Terry Rozier,CHA,30,0.4,3.6,1.08,0.4,0.1,0.3,40,50,8.3,8.3,8.3,0,41.7,40.1
Myles Turner,IND,46,0.2,1.6,1.18,0.3,0.1,0.2,45.5,54.5,9.1,0,9.1,9.1,45.5,25.1
Jusuf Nurkic,PHX,42,0.3,1.7,1.18,0.3,0.1,0.2,50,65,0,9.1,0,0,45.5,25.1
Naji Marshall,NOP,39,0.6,8,0.61,0.4,0.1,0.6,22.7,27.3,4.3,0,4.3,0,26.1,88.8
Reggie Jackson,DEN,51,0.4,5,0.67,0.3,0.1,0.3,35.3,41.2,0,19,0,0,28.6,86.5
Tre Jones,SAS,45,0.4,3.8,0.82,0.3,0.1,0.4,31.3,43.8,0,5.9,0,0,29.4,73.6
Malaki Branham,SAS,41,0.4,5.8,0.82,0.3,0.1,0.4,31.3,40.6,5.9,0,5.9,0,35.3,73.6
Anfernee Simons,POR,28,0.6,6,0.82,0.5,0.2,0.5,42.9,46.4,5.9,11.8,5.9,0,41.2,73.6
Vince Williams Jr.,MEM,35,0.4,3.9,1,0.4,0.2,0.4,42.9,50,0,0,0,0,42.9,54
John Konchar,MEM,37,0.4,5.2,1,0.4,0.2,0.4,46.2,53.8,0,7.1,0,0,42.9,54
Anthony Davis,LAL,46,0.3,1.6,1.08,0.3,0.1,0.2,54.5,63.6,0,15.4,0,0,46.2,41.2
Jeff Green,HOU,46,0.3,3.8,1.17,0.3,0.1,0.2,44.4,55.6,16.7,8.3,16.7,0,50,27.7
